loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.2489,0.7451690435409546,3.820627802690583e-05,3.09438202247191,690,,,,,
4.2372,0.7737155556678772,3.730941704035875e-05,3.1393258426966293,700,,,,,
4.302,0.701118528842926,3.641255605381166e-05,3.1842696629213485,710,,,,,
4.3054,0.7948998212814331,3.5515695067264576e-05,3.2292134831460673,720,,,,,
4.258,1.047014832496643,3.461883408071749e-05,3.2741573033707865,730,,,,,
4.2261,0.7010331153869629,3.3721973094170405e-05,3.3191011235955057,740,,,,,
4.2131,0.8541774153709412,3.282511210762332e-05,3.364044943820225,750,,,,,
4.2035,0.701217770576477,3.1928251121076234e-05,3.4089887640449437,760,,,,,
4.2144,0.6624094247817993,3.103139013452915e-05,3.453932584269663,770,,,,,
4.1915,0.779125452041626,3.0134529147982067e-05,3.498876404494382,780,,,,,
4.189,0.9721989035606384,2.9237668161434978e-05,3.5438202247191013,790,,,,,
4.1395,0.7255637645721436,2.8340807174887896e-05,3.58876404494382,800,,,,,
4.174,0.9106410145759583,2.7443946188340807e-05,3.6337078651685393,810,,,,,
4.1808,0.9975664019584656,2.6547085201793725e-05,3.6786516853932585,820,,,,,
4.1598,0.8163427710533142,2.5650224215246636e-05,3.7235955056179773,830,,,,,
5.4089,0.580929696559906,2.475336322869955e-05,3.7685393258426965,840,,,,,
4.2692,0.6700276136398315,2.385650224215247e-05,3.8134831460674157,850,,,,,
4.0609,0.7277582883834839,2.2959641255605384e-05,3.858426966292135,860,,,,,
4.1615,0.7892659902572632,2.2062780269058298e-05,3.903370786516854,870,,,,,
4.1908,0.7317482829093933,2.1165919282511213e-05,3.9483146067415733,880,,,,,
4.1887,1.1564826965332031,2.0269058295964127e-05,3.993258426966292,890,,,,,
4.1081,1.2050905227661133,1.9372197309417042e-05,4.035955056179775,900,,,,,
4.209,3.400562047958374,1.8475336322869956e-05,4.080898876404494,910,,,,,
4.0754,0.8983561992645264,1.757847533632287e-05,4.125842696629213,920,,,,,
4.068,5.259419918060303,1.6681614349775786e-05,4.170786516853933,930,,,,,
4.1162,0.7666032910346985,1.57847533632287e-05,4.215730337078652,940,,,,,
4.0993,0.7595856189727783,1.4887892376681615e-05,4.260674157303371,950,,,,,
4.1567,0.7824839353561401,1.399103139013453e-05,4.30561797752809,960,,,,,
4.1314,0.7012733221054077,1.3094170403587444e-05,4.350561797752809,970,,,,,
4.1749,0.6467480659484863,1.2197309417040358e-05,4.395505617977528,980,,,,,
4.0793,0.7096997499465942,1.1300448430493275e-05,4.440449438202247,990,,,,,
4.1274,0.758351743221283,1.040358744394619e-05,4.485393258426966,1000,,,,,
4.1488,1.1670483350753784,9.506726457399104e-06,4.5303370786516854,1010,,,,,
5.3317,0.8920080065727234,8.609865470852018e-06,4.575280898876405,1020,,,,,
4.1156,0.8924926519393921,7.713004484304933e-06,4.620224719101124,1030,,,,,
4.0573,0.6087853312492371,6.8161434977578476e-06,4.665168539325843,1040,,,,,
4.0449,0.718956470489502,5.919282511210763e-06,4.710112359550562,1050,,,,,
4.0065,0.7396071553230286,5.0224215246636775e-06,4.755056179775281,1060,,,,,
4.1566,0.6602744460105896,4.125560538116592e-06,4.8,1070,,,,,
4.0804,0.7507100105285645,3.228699551569507e-06,4.844943820224719,1080,,,,,
4.0795,0.9524645209312439,2.3318385650224217e-06,4.889887640449438,1090,,,,,
4.1604,0.6542214751243591,1.4349775784753365e-06,4.9348314606741575,1100,,,,,
4.1515,0.793450653553009,5.381165919282512e-07,4.979775280898877,1110,,,,,
,,,5.0,1115,1763.3369,1.262,0.632,414782246092800.0,6.59264644058296
