loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
25.5969,5.720487594604492,9.919282511210762e-05,0.0449438202247191,10,,,,,
24.4858,7.634964942932129,9.829596412556055e-05,0.0898876404494382,20,,,,,
22.2977,7.832721710205078,9.739910313901346e-05,0.1348314606741573,30,,,,,
23.1934,10.145829200744629,9.650224215246636e-05,0.1797752808988764,40,,,,,
22.0038,12.959635734558105,9.560538116591928e-05,0.2247191011235955,50,,,,,
19.1881,5.802340984344482,9.470852017937221e-05,0.2696629213483146,60,,,,,
20.4243,10.889705657958984,9.381165919282512e-05,0.3146067415730337,70,,,,,
18.3668,10.173436164855957,9.291479820627804e-05,0.3595505617977528,80,,,,,
17.1371,5.724417209625244,9.201793721973094e-05,0.4044943820224719,90,,,,,
16.0938,11.923233985900879,9.112107623318387e-05,0.449438202247191,100,,,,,
16.3519,11.758881568908691,9.022421524663678e-05,0.4943820224719101,110,,,,,
13.4675,10.4960355758667,8.93273542600897e-05,0.5393258426966292,120,,,,,
11.1771,11.790471076965332,8.843049327354261e-05,0.5842696629213483,130,,,,,
10.8871,8.74755859375,8.753363228699551e-05,0.6292134831460674,140,,,,,
9.9902,6.791228771209717,8.663677130044844e-05,0.6741573033707865,150,,,,,
8.99,5.034991264343262,8.573991031390135e-05,0.7191011235955056,160,,,,,
8.5531,5.651907444000244,8.484304932735427e-05,0.7640449438202247,170,,,,,
8.9207,4.946753025054932,8.394618834080717e-05,0.8089887640449438,180,,,,,
7.2094,3.930453300476074,8.30493273542601e-05,0.8539325842696629,190,,,,,
7.3131,3.0184388160705566,8.215246636771301e-05,0.898876404494382,200,,,,,
7.025,4.11465311050415,8.125560538116593e-05,0.9438202247191011,210,,,,,
6.6877,6.454794883728027,8.035874439461884e-05,0.9887640449438202,220,,,,,
6.9129,3.3200528621673584,7.946188340807176e-05,1.0314606741573034,230,,,,,
6.0396,3.9934990406036377,7.856502242152467e-05,1.0764044943820226,240,,,,,
6.2639,1.8669188022613525,7.766816143497758e-05,1.1213483146067416,250,,,,,
7.4945,20.01768684387207,7.67713004484305e-05,1.1662921348314608,260,,,,,
6.1684,1.8340128660202026,7.58744394618834e-05,1.2112359550561798,270,,,,,
5.6005,1.7914756536483765,7.497757847533633e-05,1.256179775280899,280,,,,,
5.4771,2.3675544261932373,7.408071748878924e-05,1.301123595505618,290,,,,,
5.7562,20.4743595123291,7.318385650224216e-05,1.346067415730337,300,,,,,
5.2891,1.6233187913894653,7.228699551569507e-05,1.3910112359550562,310,,,,,
5.29,2.2822866439819336,7.139013452914799e-05,1.4359550561797754,320,,,,,
5.3916,1.4210200309753418,7.04932735426009e-05,1.4808988764044944,330,,,,,
4.9051,1.7025911808013916,6.959641255605382e-05,1.5258426966292133,340,,,,,
5.0258,1.2641993761062622,6.869955156950673e-05,1.5707865168539326,350,,,,,
4.8646,1.7478461265563965,6.780269058295964e-05,1.6157303370786518,360,,,,,
4.9904,0.8837451338768005,6.690582959641256e-05,1.6606741573033708,370,,,,,
4.8564,0.9900043606758118,6.600896860986547e-05,1.7056179775280897,380,,,,,
4.9088,1.5418142080307007,6.511210762331839e-05,1.750561797752809,390,,,,,
4.749,1.282326102256775,6.42152466367713e-05,1.7955056179775282,400,,,,,
4.8563,1.1090105772018433,6.331838565022422e-05,1.8404494382022472,410,,,,,
4.7018,1.4025577306747437,6.242152466367713e-05,1.8853932584269661,420,,,,,
4.5972,1.7003450393676758,6.152466367713005e-05,1.9303370786516854,430,,,,,
4.7516,2.0151150226593018,6.0627802690582955e-05,1.9752808988764046,440,,,,,
4.6355,1.4878172874450684,5.973094170403588e-05,2.0179775280898875,450,,,,,
4.6157,0.8118725419044495,5.883408071748879e-05,2.0629213483146067,460,,,,,
4.5383,1.1052297353744507,5.7937219730941705e-05,2.107865168539326,470,,,,,
4.533,1.2090736627578735,5.704035874439462e-05,2.152808988764045,480,,,,,
4.6465,1.0271553993225098,5.614349775784754e-05,2.197752808988764,490,,,,,
4.4938,5.820403099060059,5.5246636771300456e-05,2.242696629213483,500,,,,,
4.5162,0.6824086904525757,5.434977578475336e-05,2.2876404494382023,510,,,,,
4.553,1.2716442346572876,5.345291479820628e-05,2.3325842696629215,520,,,,,
4.4682,0.8852221369743347,5.25560538116592e-05,2.3775280898876403,530,,,,,
4.4437,1.5749822854995728,5.1659192825112114e-05,2.4224719101123595,540,,,,,
4.3791,1.1486055850982666,5.076233183856502e-05,2.4674157303370787,550,,,,,
4.4161,0.7927653193473816,4.9865470852017936e-05,2.512359550561798,560,,,,,
4.4332,1.029107928276062,4.896860986547086e-05,2.5573033707865167,570,,,,,
4.3862,0.7872562408447266,4.8071748878923765e-05,2.602247191011236,580,,,,,
4.3736,0.8074533343315125,4.717488789237669e-05,2.647191011235955,590,,,,,
4.3941,0.6386021971702576,4.6278026905829594e-05,2.692134831460674,600,,,,,
4.3552,0.710187554359436,4.5381165919282516e-05,2.737078651685393,610,,,,,
4.3529,0.6079297065734863,4.4484304932735424e-05,2.7820224719101123,620,,,,,
4.258,0.6686559915542603,4.3587443946188345e-05,2.8269662921348315,630,,,,,
4.3218,0.8870828151702881,4.269058295964126e-05,2.8719101123595507,640,,,,,
4.3052,5.483719348907471,4.1793721973094174e-05,2.9168539325842695,650,,,,,
5.5772,1.083970546722412,4.089686098654709e-05,2.9617977528089887,660,,,,,
4.2181,0.8306732177734375,4e-05,3.004494382022472,670,,,,,
4.3397,0.7349258661270142,3.910313901345292e-05,3.049438202247191,680,,,,,
